City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,Ancud,-41.8697,-73.8203,8.76,89,92,7.28,CL,1691678612
321,Kuah,6.3265,99.8432,26.99,83,20,1.54,MY,1691678612
322,Patacamaya,-17.2333,-67.9167,11.81,15,0,1.39,BO,1691678612
323,Weno,7.4515,151.8468,27.57,75,73,2.97,FM,1691678612
324,Bathsheba,13.2167,-59.5167,31.34,74,20,6.69,BB,1691678612
325,Moanda,-1.5575,13.2178,27.13,32,97,0.62,GA,1691678612
326,Hami,42.8,93.45,32.17,17,1,4.55,CN,1691678612
327,Woodlake,37.4211,-77.6793,26.57,85,100,2.57,US,1691678612
328,Melfort,52.8667,-104.6177,11.07,93,100,4.63,CA,1691678612
329,New Norfolk,-42.7826,147.0587,9.72,98,100,1.29,AU,1691678612
330,Rawson,-43.3002,-65.1023,16.26,37,97,6.98,AR,1691678612
331,Mil'Kovo,55.6078,37.7956,25.73,54,100,1.92,RU,1691678612
332,Al Bayda',32.7627,21.7551,23.83,52,0,6.3,LY,1691678612
333,Khorixas,-20.3667,14.9667,29.45,15,9,5.06,NA,1691678612
334,Geraldton,-28.7667,114.6,14.23,88,100,2.57,AU,1691678613
335,Melekeok Village,7.4957,134.6367,26.31,89,75,4.63,PW,1691678613
336,Taperoa,-7.2075,-36.8267,31.28,23,3,6.09,BR,1691678613
337,Jiuquan,39.7432,98.5174,21.21,48,52,3.05,CN,1691678613
338,Vuktyl,63.8567,57.3094,19.83,53,22,2.65,RU,1691678613
339,Tual,-5.6667,132.75,25.9,77,74,9.3,ID,1691678613
340,Sao Vicente,-23.9631,-46.3919,27.75,60,0,1.54,BR,1691678613
341,Port Augusta,-32.5,137.7667,8.79,81,0,2.45,AU,1691678613
342,Tezu,27.9167,96.1667,25.89,98,95,0.97,IN,1691678613
343,Horqueta,-23.3428,-57.0597,34.61,29,9,4.69,PY,1691678613
344,San Patricio,28.017,-97.5169,32.15,55,3,7.05,US,1691678613
345,Murray Bridge,-35.1167,139.2667,9.63,86,1,2.2,AU,1691678613
346,Tsiombe,-25.3,45.4833,18.6,65,92,4.21,MG,1691678613
347,Benguela,-12.5763,13.4055,22.01,74,22,3.61,AO,1691678613
348,Kawm Umbu,24.4767,32.9463,42.94,6,0,7.95,EG,1691678613
349,Siracusa,37.0881,15.2792,29.77,59,1,4.02,IT,1691678613
350,Mar Del Plata,-38.0023,-57.5575,14.01,96,100,5.66,AR,1691678474
351,Tadine,-21.55,167.8833,17.92,55,0,8.12,NC,1691678613
352,Aroma,15.8167,36.1333,35.0,40,43,4.31,SD,1691678613
